AK,Anchorage,Anchorage,AK
AZ,Chandler,Chandler,AZ
AZ,Gilbert,Gilbert,AZ
AZ,Glendale,Glendale,AZ
AZ,Mesa,Mesa,AZ
AZ,Phoenix,Phoenix,AZ
AZ,Scottsdale,Scottsdale,AZ
AZ,Tucson,Tucson,AZ
CA,Anaheim,Anaheim,CA
CA,Bakersfield,Bakersfield,CA
CA,Chula_Vista,Chula Vista,CA
CA,Fremont,Fremont,CA
CA,Fresno,Fresno,CA
CA,Irvine,Irvine,CA
CA,Long_Beach,Long Beach,CA
CA,Los_Angeles,Los Angeles,CA
CA,Oakland,Oakland,CA
CA,Riverside,Riverside,CA
CA,Sacramento,Sacramento,CA
CA,San_Bernardino,San Bernardino,CA
CA,San_Diego,San Diego,CA
CA,San_Francisco,San Francisco,CA
CA,San_Jose,San Jose,CA
CA,Santa_Ana,Santa Ana,CA
CA,Stockton,Stockton,CA
CO,Aurora,Aurora,CO
CO,Colorado_Springs,Colorado Springs,CO
CO,Denver,Denver,CO
DC,Washington,Washington,DC
FL,Hialeah,Hialeah,FL
FL,Jacksonville,Jacksonville,FL
FL,Miami,Miami,FL
FL,Orlando,Orlando,FL
FL,St_Petersburg,St. Petersburg,FL
FL,Tampa,Tampa,FL
GA,Atlanta,Atlanta,GA
HI,Honolulu,Honolulu,HI
ID,Boise_City,Boise City,ID
IL,Chicago,Chicago,IL
IN,Fort_Wayne,Fort Wayne,IN
IN,Indianapolis,Indianapolis,IN
KS,Wichita,Wichita,KS
KY,Lexington,Lexington,KY
KY,Louisville,Louisville,KY
LA,Baton_Rouge,Baton Rouge,LA
LA,New_Orleans,New Orleans,LA
MA,Boston,Boston,MA
MD,Baltimore,Baltimore,MD
MI,Detroit,Detroit,MI
MN,Minneapolis,Minneapolis,MN
MN,St_Paul,St. Paul,MN
MO,Kansas_City,Kansas City,MO
MO,St_Louis,St. Louis,MO
NC,Charlotte,Charlotte,NC
NC,Durham,Durham,NC
NC,Greensboro,Greensboro,NC
NC,Raleigh,Raleigh,NC
NC,Winston-Salem,Winston-Salem,NC
NE,Lincoln,Lincoln,NE
NE,Omaha,Omaha,NE
NJ,Jersey_City,Jersey City,NJ
NJ,Newark,Newark,NJ
NM,Albuquerque,Albuquerque,NM
NV,Henderson,Henderson,NV
NV,Las_Vegas,Las Vegas,NV
NV,North_Las_Vegas,North Las Vegas,NV
NV,Reno,Reno,NV
NY,Buffalo,Buffalo,NY
NY,New_York,New York,NY
OH,Cincinnati,Cincinnati,OH
OH,Cleveland,Cleveland,OH
OH,Columbus,Columbus,OH
OH,Toledo,Toledo,OH
OK,Oklahoma_City,Oklahoma City,OK
OK,Tulsa,Tulsa,OK
OR,Portland,Portland,OR
PA,Philadelphia,Philadelphia,PA
PA,Pittsburgh,Pittsburgh,PA
TN,Memphis,Memphis,TN
TN,Nashville,Nashville,TN
TX,Arlington,Arlington,TX
TX,Austin,Austin,TX
TX,Corpus_Christi,Corpus Christi,TX
TX,Dallas,Dallas,TX
TX,El_Paso,El Paso,TX
TX,Fort_Worth,Fort Worth,TX
TX,Garland,Garland,TX
TX,Houston,Houston,TX
TX,Irving,Irving,TX
TX,Laredo,Laredo,TX
TX,Lubbock,Lubbock,TX
TX,Plano,Plano,TX
TX,San_Antonio,San Antonio,TX
VA,Chesapeake,Chesapeake,VA
VA,Norfolk,Norfolk,VA
VA,Richmond,Richmond,VA
VA,Virginia_Beach,Virginia Beach,VA
WA,Seattle,Seattle,WA
WI,Madison,Madison,WI
WI,Milwaukee,Milwaukee,WI
